customer_id,stock_code,description,score
16945,22662,LUNCH BAG DOLLY GIRL DESIGN,46.399490866703175
16945,21212,PACK OF 72 RETROSPOT CAKE CASES,46.092166182173365
16945,84991,60 TEATIME FAIRY CAKE CASES,42.61563758516877
16945,85123A,WHITE HANGING HEART T-LIGHT HOLDER,41.681558016905235
16945,22551,PLASTERS IN TIN SPACEBOY,41.580318104800554
13678,22608,PENS ASSORTED FUNKY JEWELED ,2.1836661374145727
13678,22093,MOTORING TISSUE BOX,2.148633646716022
13678,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,2.1019557236352893
13678,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,2.065067585584123
13678,20996,JAZZ HEARTS ADDRESS BOOK,2.054001322933875
14689,21733,RED HANGING HEART T-LIGHT HOLDER,2.9767840786016255
14689,21212,PACK OF 72 RETROSPOT CAKE CASES,2.8794143124598586
14689,22469,HEART OF WICKER SMALL,2.8083438446970495
14689,20725,LUNCH BAG RED RETROSPOT,2.8055714386379997
14689,22384,LUNCH BAG PINK POLKADOT,2.7729462273365457
